# 驱逐简码明细（1525 行 / 1701 字）：编码<Tab>被逐简码字<Tab>驱逐后该行内容
lgk	輻	圄
lh	四 甲	㐃
lip	疂	遝
lk	圓	回 軎 甽 䡅
ll	田 圜	畕 䡒 䡛 㘡
lll	田	畾 轟
lm	輞	軸 軕 買
lmd	圌	軮
lmw	㽯	軜
lna	輾	罠 䡑 囻
lnf	罻	軐
lo	轆 轔	䍘
lr	暫	斬
lt	略	囷 畋
lu	圈 較	𨋢
luj	疃	罯
lvt	輑	數
lw	界 輪	囚 䡄 㽗
lwc	繋	軗 䡆
lwg	輪	輇
lwm	朙	囧
lwy	囹	圀 䍜 罖 軓
ly	罰	圁 詈
lyn	䡢	甿
lyx	羉	䍗
ma	賊	曲 㞬 屸 冊 戝
maa	贜	賤 㟞
mb	岌	㕀 㞨 邖 郥 貤 㞧 屷 岥 貱
mc	峻 貽	岜 㽕 禸
md	岸	央 岩 岵 屵
mdh	酆	㞸
mdm	顓	崸 頔
med	髓	骷
mes	髆	䯙
mf	周 財	冉 冃 冄 亗 屽 曱
mfa	賳	賎
mfq	嵌	岏 貦
mft	賭	財
mge	豳	崝 䝼
mgj	峘	畁
mgq	峛	屼
mh	由 貝	巾
mhc	幓	帊
mhf	帾	甴
mhg	幅	円 㠸
mho	幞	㠊
mhq	㡊	峴
mi	峭 嵴	汖
mj	賜	㞱 則
mk	迥 貺	冋
ml	嶄	岬
mm	山	峀 岫 屾 岀 賏
mmd	㟨	岟
mmm	山	贔
mmt	罌	贁
mn	崛	㐕 屺 乢 囘
mnm	過	冎
moo	嶗	賧
mp	崇	迪 廸 䢙 辿 㞫
mpw	崆	岤
mq	貾	崟 崯
mqa	崏	㞴
mqe	嶰	崅
mqy	嵧	㞮
mr	販	岴 岶 岓 罓
mri	嵬	㟫
ms	岢 賻	峬 䝵
mt	峰	敗
mtd	峰	㞺 岆
mtf	崜	㞰
mtu	嵊	峂
mtv	巍	崣
mu	贈 賺	岦 㟄 峷
