# 词序重排明细（2026-09-15）：按 rime-essay 单字有效字频（繁取自身与简体之大者）重排重码行，排除一级简码 25 行与字根行 4 行；共改动 1307 行。格式: 编码<Tab>原序<Tab>新序
lna	罠 䡑 囻	囻 罠 䡑
lqn	䍖 軳	軳 䍖
lqy	輷 畂	畂 輷
lrcy	畖 罛 軱	罛 軱 畖
ls	困 町 圃 甼 䍒 輔	困 輔 町 圃 甼 䍒
lt	囷 畋	畋 囷
ltg	㽚 軼	軼 㽚
ltgf	畽 輧	輧 畽
ltk	略 畧 輅	略 輅 畧
ltx	䍙 畮	畮 䍙
lur	図 較	較 図
lv	囡 婁 㚻 軌	軌 婁 囡 㚻
lwe	畛 軫	軫 畛
lwga	圇 輪	輪 圇
lwy	圀 䍜 罖 軓	罖 圀 軓 䍜
ly	圁 詈	詈 圁
lyg	罜 軴	軴 罜
lyj	䍤 罰	罰 䍤
lyw	㽘 䡉 囥	囥 㽘 䡉
ma	曲 㞬 屸 冊 戝	曲 冊 戝 屸 㞬
maj	㟙 刪	刪 㟙
mb	㕀 㞨 邖 郥 貤 㞧 屷 岥 貱	岥 貤 郥 邖 貱 㕀 㞨 㞧 屷
mc	岜 㽕 禸	岜 禸 㽕
mcce	嵾 贂 㠁	贂 嵾 㠁
md	央 岩 岵 屵	岩 央 岵 屵
mde	峟 賄 賬	賬 賄 峟
mdhl	豓 豔	豔 豓
mdm	崸 頔	頔 崸
mdmj	剬 峏 耑	峏 剬 耑
mdui	嶚 嶛	嶛 嶚
me	骨 胄 冑 岄 㲘 屴	骨 胄 冑 岄 屴 㲘
meb	㟊 骳	骳 㟊
mepy	髉 髖	髖 髉
meua	骿 髊	髊 骿
mev	㟎 骩	骩 㟎
mf	冉 冃 冄 亗 屽 曱	冉 冄 屽 曱 亗 冃
mfq	岏 貦	貦 岏
mhde	帪 帳	帳 帪
mhk	岾 貼	貼 岾
mhwy	帷 帆	帆 帷
mj	㞱 則	則 㞱
mjxx	崐 崑	崑 崐
mkq	岲 貺	貺 岲
mlr	嶃 嶄	嶄 嶃
mlv	㟺 嶁	嶁 㟺
mm	峀 岫 屾 岀 賏	岫 屾 岀 賏 峀
mn	㐕 屺 乢 囘	囘 屺 乢 㐕
mnr	㠄 嶍	嶍 㠄
mp	迪 廸 䢙 辿 㞫	迪 廸 辿 䢙 㞫
mqdb	峗 峞	峞 峗
mqdy	嶦 贍	贍 嶦
mqo	嶌 嵨 嶋 鵙	嶋 嶌 嵨 鵙
mr	岴 岶 岓 罓	岶 岴 岓 罓
mrbt	嵏 嵕	嵕 嵏
mrc	岅 販	販 岅
msj	崬 崠 贉	崬 贉 崠
mtd	㞺 岆	岆 㞺
mtdh	峰 峯	峯 峰
mthf	岝 岞 䝫	岞 岝 䝫
mtk	峉 峈 賂	賂 峈 峉
mtry	峨 峩	峩 峨
mtwh	嵷 嵸	嵸 嵷
mu	岦 㟄 峷	岦 峷 㟄
mued	巃 巄 贚	巃 贚 巄
mulj	嶒 贈	贈 嶒
mur	峧 賋	賋 峧
muvw	嵰 賺	賺 嵰
mvy	岃 屻	屻 岃
mwga	崘 崙	崙 崘
mwgk	峆 峇	峇 峆
mwyk	嵢 巂 賶 㟏 㟔	巂 賶 嵢 㟏 㟔
mwyn	岑 岒 嶲	岑 嶲 岒
myj	峕 刐	刐 峕
mynw	峐 賅	賅 峐
mywf	崒 崪 賥	賥 崒 崪
na	民 羾 羿	民 羿 羾
naj	惜 昬 刡 愺	惜 愺 昬 刡
nakg	惐 慬	慬 惐
nan	怇 怈 怴 䎀	怇 怴 怈 䎀
nans	屟 惵	惵 屟
nb	㞌 邔 䣁 忚 怶 翍	忚 怶 翍 邔 㞌 䣁
nbbb	孱 懾	懾 孱
nde	㤢 悵	悵 㤢
ne	尾 毣 忇	尾 忇 毣
neee	恊 愶	愶 恊
nf	㤌 忓 屚 卂 忖 怽	忖 忓 卂 屚 怽 㤌
nfc	厾 怯 忮 忶 翄	怯 厾 忮 翄 忶
ng	刁 䍿 忹 丮	刁 丮 忹 䍿
